,Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
150,2018-10-03 22:19,Grand Theft Auto V,8,vsummeRz,411,12552,231124
151,2018-10-03 22:19,Grand Theft Auto V,9,Lord_Kebun,376,36916,969896
152,2018-10-03 22:19,Grand Theft Auto V,10,TheChief1114,330,165846,3326998
153,2018-10-03 22:19,Dead by Daylight,1,ANGRYPUG,2512,272509,15511668
154,2018-10-03 22:19,Dead by Daylight,2,Jendenise,1565,162620,6066466
155,2018-10-03 22:19,Dead by Daylight,3,Grimmmz,1364,881960,35947406
156,2018-10-03 22:19,Dead by Daylight,4,Oroboro,657,161274,10061120
157,2018-10-03 22:19,Dead by Daylight,5,Puppers,594,39877,748569
158,2018-10-03 22:19,Dead by Daylight,6,Swag_Dracula,364,48697,772020
159,2018-10-03 22:19,Dead by Daylight,7,Gammalunatic,261,9125,528653
160,2018-10-03 22:19,Dead by Daylight,8,AimzAtchu,192,163856,5509735
161,2018-10-03 22:19,Dead by Daylight,9,ChuckNyx,167,1830,42735
162,2018-10-03 22:19,Dead by Daylight,10,Malika,157,48998,568973
163,2018-10-03 22:19,NBA 2K19,1,GoldGlove,2899,1370125,54657350
164,2018-10-03 22:19,NBA 2K19,2,Kamet0,1475,128471,9387019
165,2018-10-03 22:19,NBA 2K19,3,Th3D4rkness,1085,283833,11279823
166,2018-10-03 22:19,NBA 2K19,4,LSKakarot,913,205245,923097
167,2018-10-03 22:19,NBA 2K19,5,Strippin,865,256449,13879469
168,2018-10-03 22:19,NBA 2K19,6,TSM_CaMiLLs,806,232697,2519558
169,2018-10-03 22:19,NBA 2K19,7,RedCityBoy23,763,159638,923120
170,2018-10-03 22:19,NBA 2K19,8,Kobe0802,449,47905,697782
171,2018-10-03 22:19,NBA 2K19,9,BrokybrawksCOD,402,75041,516157
172,2018-10-03 22:19,NBA 2K19,10,omgdontlose1,375,6891,14459
173,2018-10-03 22:19,Casino,1,casino4all,4655,2,330
174,2018-10-03 22:19,Casino,2,john_casin0,2527,94,9300
175,2018-10-03 22:19,Casino,3,lowbrat,1856,1530,49202
176,2018-10-03 22:19,Casino,4,publst,1576,275,11891
177,2018-10-03 22:19,Casino,5,slotplayerr,1254,320,15612
178,2018-10-03 22:19,Casino,6,v1tuss_brltwaa,1003,41,1263
179,2018-10-03 22:19,Casino,7,lishen80,700,217,6734
180,2018-10-03 22:19,Casino,8,CasinoRISK,498,911,10274
181,2018-10-03 22:19,Casino,9,iborna,429,342,17640
182,2018-10-03 22:19,Casino,10,cassinogirl,287,640,28268
183,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,1,KingGeorgeTV,1796,315844,6668272
